Batch_ID,Plant_City,Production_Line,Machine_ID,Product_Category,SKU,Shift,Supervisor_ID,Batch_Start,Batch_End,Planned_Output_Units,Actual_Output_Units,Good_Units,Rework_Units,Scrap_Units,Scrap_Reason,Downtime_Minutes,Downtime_Reason,Energy_kWh,Water_Liters,Unit_Weight_kg,Material_Input_kg,Output_kg,Yield_pct,QA_Score,QA_Result,Ambient_Temp_C,Humidity_pct,Supplier,Raw_Material_Lot,Maintenance_Flag
BAT-102871,BENGALURU,BL-01,MC-BL-01-6,Beverages,SparklingWater_500ml,C,SUP-BE-37,2024-09-02 00:00:00,2024-09-02 01:29:00,2529.0,2269.0,2192.0,15.0,62.0,Weight Out of Spec,9.0,Mechanical Jam,336.4,5539.0,0.52,1194.41,1147.64,96.08,91.5,Pass,26.0,47.0,CitrusCo Ingredients,BEV-2409-80610,No
BAT-105363,Chennai,CH-04,MC-CH-04-5, Beverages ,SparklingWater_500ml,C,SUP-CH-52,2024-09-02 02:45:00,2024-09-02 03:50:00,1841.0,1318.0,1232.0,,47.0,Contamination Risk,20.0,Sensor Calibration,251.4,8767.0,0.52,708.49,660.92,93.29,82.2,Conditional Pass,29.0,56.9,TeaLeaf Traders,BEV-2409-94321,Yes
BAT-107036,Bengaluru,BL-01, MC-BL-01-5 ,HOMECARE,Dishwash_500ml,C,SUP-BE-42,2024-09-02 05:45:00,2024-09-02 06:53:00,1324.0,1072.0,1022.0,25.0,25.0,Underfill,12.0,Planned Cleaning,387.4,3715.0,0.56,602.18,586.32,97.37,87.1,Conditional Pass,23.9,60.0,CleanBase Materials,HMC-2409-96290,No
BAT-105421,Hyderabad,HY-02,MC-HY-02-4,PersonalCare,Soap_100g,C,SUP-HY-49,2024-09-02 06:00:00,2024-09-02 07:28:00,2515.0,2304.0,2234.0,18.0,52.0,Weight Out of Spec,0.0,No Downtime,273.3,7259.0,0.11,264.79,247.72,93.55,91.3,Pass,27.2,56.4,CareChem Solutions,PSC-2409-30130,No
BAT-106810, Hyderabad ,HY-02,MC-HY-02-1, Beverages ,SparklingWater_500ml,A,SUP-HY-43,2024-09-02 09:00:00,2024-09-02 09:57:00,1676.0,1545.0,1497.0,15.0,33.0,Underfill,0.0,No Downtime,259.9,3910.0,0.52,820.52,786.24,95.82,93.4,Pass,32.2,54.5,AquaPure Pvt Ltd,BEV-2409-91261,No
BAT-104391,Hyderabad,HY-01,MC-HY-01-3,Dairy,Yogurt_150g,A,SUP-HY-96,2024-09-02 13:15:00,2024-09-02 14:50:00,2531.0,2480.0,2356.0,51.0,73.0,Damaged Pack,0.0,NO DOWNTIME,514.1,11360.0,0.165,413.78,397.16,95.98,89.1,Conditional Pass,31.6,43.3,FreshFarm Dairies,DRY-2409-37602,No
BAT-107484,Hyderabad,HY-01,MC-HY-01-6,HomeCare,Detergent_1kg,B,SUP-HY-21,2024-09-02 19:30:00,2024-09-02 21:31:00,1715.0,1457.0,1376.0,33.0,48.0,Damaged Pack,17.0,Sensor Calibration,463.6,5500.0,1.02,1525.22,1437.18,94.23,88.6,Conditional Pass,29.7,56.8,ChemBlend Industries,HMC-2409-65042,No
BAT-107069,Hyderabad,HY-01,MC-HY-01-5,HomeCare,Detergent_1kg,B,SUP-HY-50,2024-09-02 23:30:00,2024-09-03 00:58:00,,1528.0,1473.0,12.0,43.0,Weight Out of Spec,13.0,Sensor Calibration,363.6,5685.0,1.02,1601.36,1514.7,94.59,85.4,Conditional Pass,23.7,54.6,ChemBlend Industries,HMC-2409-39150,NO
BAT-104156,Chennai,CH-03,MC-CH-03-4, Beverages ,RTD_Tea_250ml,C,SUP-CH-55,2024-09-03 00:30:00,2024-09-03 02:15:00,3068.0,2850.0,2720.0,,63.0,Overfill,0.0,No Downtime,394.4,13295.0,0.27,804.42,752.49,93.54,94.1, Pass ,30.5,61.6,CitrusCo Ingredients,BEV-2409-33522,No
BAT-100184,Chennai,CH-04,MC-CH-04-3, PersonalCare ,Toothpaste_150g,C,SUP-CH-27,2024-09-03 01:15:00,2024-09-03 03:25:00,2446.0,1775.0,1669.0,22.0,84.0,Underfill,36.0,Mechanical Jam,542.2,4653.0,0.19,348.62,321.29,92.16,80.0,Conditional Pass,30.2,62.2,HerbalEssence Supply,PSC-2409-36832,Yes
